City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
47,Qui Nhon,VN,2021-04-10 00:42:29,13.7667,109.2333,298.97,81,60,3.21
48,Nanfeng,CN,2021-04-10 00:42:31,23.7434,111.7959,292.64,79,100,1.2
49,Kahului,US,2021-04-10 00:42:32,20.8947,-156.47,300.15,50,20,10.8
50,Srednekolymsk,RU,2021-04-10 00:42:34,67.45,153.6833,257.94,84,100,4.19
51,Wadi Maliz,TN,2021-04-10 00:42:35,36.4681,8.5495,291.15,48,20,4.63
52,Rock Sound,BS,2021-04-10 00:42:37,24.9,-76.2,296.83,62,11,6.24
53,Nueva Helvecia,UY,2021-04-10 00:42:38,-34.3,-57.2333,292.59,95,100,1.98
54,Shaghat,AM,2021-04-10 00:42:40,39.5625,45.9143,288.15,55,75,3.09
55,Port Hedland,AU,2021-04-10 00:38:02,-20.3167,118.5667,303.15,79,40,4.63
56,Gimli,CA,2021-04-10 00:42:42,50.6336,-96.9907,281.15,57,100,4.63
57,Norman Wells,CA,2021-04-10 00:42:45,65.282,-126.8329,254.15,65,75,9.26
58,Ponta Delgada,PT,2021-04-10 00:42:46,37.7333,-25.6667,288.15,88,40,2.57
59,Ust-Maya,RU,2021-04-10 00:42:47,60.4167,134.5333,273.4,93,100,2.3
60,Hohhot,CN,2021-04-10 00:42:49,40.8106,111.6522,282.15,71,20,1.0
61,College,US,2021-04-10 00:42:50,64.8569,-147.8028,257.59,46,75,2.57
62,Torbay,CA,2021-04-10 00:42:52,47.6666,-52.7314,275.93,100,90,6.17
63,Kapaa,US,2021-04-10 00:42:53,22.0752,-159.319,299.15,53,20,7.2
64,Vanimo,PG,2021-04-10 00:42:55,-2.6741,141.3028,301.83,74,100,4.71
65,Iquique,CL,2021-04-10 00:41:36,-20.2208,-70.1431,291.15,82,90,3.09
66,Kindu,CD,2021-04-10 00:42:57,-2.95,25.95,293.67,98,99,1.11
67,Rawson,AR,2021-04-10 00:42:59,-43.3002,-65.1023,286.46,69,82,1.91
68,Saint-Pierre,RE,2021-04-10 00:43:00,-21.3393,55.4781,298.15,69,100,1.54
69,Saint-Philippe,RE,2021-04-10 00:43:02,-21.3585,55.7679,298.15,69,100,1.54
70,Timra,SE,2021-04-10 00:43:03,62.487,17.3257,272.15,69,7,2.06
71,Mandera,KE,2021-04-10 00:43:04,3.9366,41.867,300.26,66,84,4.78
72,Yellowknife,CA,2021-04-10 00:43:06,62.456,-114.3525,264.15,57,75,7.2
73,Podyuga,RU,2021-04-10 00:43:08,61.095,40.8647,273.47,80,83,5.66
74,Banda Aceh,ID,2021-04-10 00:43:09,5.5577,95.3222,300.2,79,49,2.21
75,Ugoofaaru,MV,2021-04-10 00:43:11,5.6667,73.0,300.86,73,4,1.37
76,Hay River,CA,2021-04-10 00:43:12,60.8156,-115.7999,264.15,79,100,8.23
77,Vaini,TO,2021-04-10 00:43:13,-21.2,-175.2,301.15,69,40,3.6
78,Ponta Do Sol,PT,2021-04-10 00:43:15,32.6667,-17.1,289.26,75,43,1.79
79,Busselton,AU,2021-04-10 00:43:16,-33.65,115.3333,289.26,78,0,4.47
80,Port Alfred,ZA,2021-04-10 00:43:17,-33.5906,26.891,290.09,84,86,1.1
81,Hermanus,ZA,2021-04-10 00:43:19,-34.4187,19.2345,291.48,86,100,1.34
82,Georgetown,MY,2021-04-10 00:43:21,5.4112,100.3354,300.93,83,20,1.03
83,Tuktoyaktuk,CA,2021-04-10 00:43:23,69.4541,-133.0374,247.15,70,75,5.66
84,Bambous Virieux,MU,2021-04-10 00:43:24,-20.3428,57.7575,298.71,94,75,5.14
85,Along,IN,2021-04-10 00:43:26,28.1667,94.7667,291.46,96,100,0.97
86,Teguldet,RU,2021-04-10 00:43:27,57.3064,88.1667,272.86,90,24,2.26
87,Halifax,CA,2021-04-10 00:39:20,44.6453,-63.5724,285.15,54,23,2.06
88,Mar Del Plata,AR,2021-04-10 00:43:31,-38.0023,-57.5575,291.48,82,40,4.12
89,Teknaf,BD,2021-04-10 00:43:32,20.8624,92.3058,298.01,84,11,1.17
90,Nikolskoye,RU,2021-04-10 00:43:36,59.7035,30.7861,277.59,75,40,8.0
91,Petnehaza,HU,2021-04-10 00:43:37,48.0608,22.0749,277.0,59,100,3.25
92,North Myrtle Beach,US,2021-04-10 00:43:39,33.816,-78.68,293.71,82,1,4.63
93,Nago,JP,2021-04-10 00:43:40,26.5881,127.9761,296.15,60,1,7.72
94,Avarua,CK,2021-04-10 00:43:42,-21.2078,-159.775,302.15,74,87,1.54
95,Puerto Ayora,EC,2021-04-10 00:43:43,-0.7393,-90.3518,297.59,96,96,1.34
96,Rio Grande,BR,2021-04-10 00:43:45,-32.035,-52.0986,296.48,90,100,4.25
97,Gambo,CF,2021-04-10 00:43:46,4.6482,22.2633,293.55,94,83,0.9
98,Esil,KZ,2021-04-10 00:43:47,51.9556,66.4042,273.66,91,90,3.95
99,Henties Bay,NA,2021-04-10 00:43:49,-22.116,14.2845,297.0,52,0,2.0
100,Port-Gentil,GA,2021-04-10 00:43:50,-0.7193,8.7815,299.81,81,100,2.33
101,Kargil,IN,2021-04-10 00:43:52,34.5667,76.1,265.78,56,20,1.85
102,Altay,CN,2021-04-10 00:43:55,47.8667,88.1167,274.64,45,0,2.83
103,Cabras,IT,2021-04-10 00:43:56,39.93,8.5314,283.67,80,98,6.75
104,Taoudenni,ML,2021-04-10 00:43:57,22.6783,-3.9836,301.83,14,0,4.71
105,Bellavista,PE,2021-04-10 00:43:59,-7.0561,-76.5911,303.15,66,40,2.57
106,Kieta,PG,2021-04-10 00:44:00,-6.2167,155.6333,302.73,68,55,2.3
107,New Norfolk,AU,2021-04-10 00:44:02,-42.7826,147.0587,285.37,68,30,2.68
108,Cape Town,ZA,2021-04-10 00:43:49,-33.9258,18.4232,290.93,94,0,3.09
109,Erenhot,CN,2021-04-10 00:44:04,43.6475,111.9767,285.3,37,100,7.57
110,Ibra,OM,2021-04-10 00:44:06,22.6906,58.5334,293.77,62,0,0.87
111,Hithadhoo,MV,2021-04-10 00:44:07,-0.6,73.0833,301.27,68,0,4.05
112,Guerrero Negro,MX,2021-04-10 00:44:08,27.9769,-114.0611,290.06,75,14,10.38
113,Grande Prairie,CA,2021-04-10 00:44:10,55.1667,-118.8027,281.15,31,75,3.6
114,Upernavik,GL,2021-04-10 00:44:12,72.7868,-56.1549,261.22,96,100,6.2
115,Nishihara,JP,2021-04-10 00:44:13,26.1842,127.7558,297.15,57,20,7.2
116,Cayenne,GF,2021-04-10 00:44:16,4.9333,-52.3333,299.82,100,0,0.51
117,Alcudia,ES,2021-04-10 00:44:17,39.8532,3.1214,285.37,87,100,0.45
118,Talnakh,RU,2021-04-10 00:44:19,69.4865,88.3972,268.21,93,100,5.84
119,Mount Isa,AU,2021-04-10 00:44:20,-20.7333,139.5,306.15,19,6,3.6
120,Ilulissat,GL,2021-04-10 00:44:21,69.2167,-51.1,270.15,93,75,5.14
121,Fairbanks,US,2021-04-10 00:40:02,64.8378,-147.7164,257.59,46,75,2.57
122,Atuona,PF,2021-04-10 00:44:24,-9.8,-139.0333,300.09,77,17,6.03
123,Matara,LK,2021-04-10 00:41:07,5.9485,80.5353,297.45,88,17,1.27
124,Albany,US,2021-04-10 00:40:22,42.6001,-73.9662,292.15,45,75,6.69
125,Esperance,AU,2021-04-10 00:40:39,-33.8667,121.9,290.15,63,90,3.6
126,Slobidka,UA,2021-04-10 00:44:29,47.8869,29.3461,275.17,59,0,1.4
127,Ballina,AU,2021-04-10 00:44:30,-28.8667,153.5667,301.15,47,4,5.66
128,Alofi,NU,2021-04-10 00:44:31,-19.0595,-169.9187,300.15,69,98,2.57
129,Sur,OM,2021-04-10 00:40:45,22.5667,59.5289,299.76,43,0,4.98
130,Corner Brook,CA,2021-04-10 00:42:07,48.9667,-57.9484,280.15,81,90,6.69
131,Alugan,PH,2021-04-10 00:44:35,12.2188,125.4808,301.4,64,92,4.39
132,Bilibino,RU,2021-04-10 00:44:37,68.0546,166.4372,257.77,62,7,1.49
133,Golkoy,TR,2021-04-10 00:44:38,40.6875,37.6178,279.15,87,75,6.17
134,Kiama,AU,2021-04-10 00:44:40,-34.6833,150.8667,293.71,52,17,3.13
135,Haines Junction,CA,2021-04-10 00:44:15,60.7522,-137.5108,260.15,33,100,8.75
136,Vila Franca Do Campo,PT,2021-04-10 00:44:42,37.7167,-25.4333,288.15,88,40,2.57
137,Marawi,PH,2021-04-10 00:44:44,7.9986,124.2928,301.48,75,87,0.89
138,Arraial Do Cabo,BR,2021-04-10 00:44:45,-22.9661,-42.0278,297.35,74,0,7.03
139,Terrace,CA,2021-04-10 00:40:02,54.5163,-128.6035,274.15,93,90,10.29
140,Kawalu,ID,2021-04-10 00:44:48,-7.3817,108.2082,299.34,77,90,0.71
141,Itaituba,BR,2021-04-10 00:44:49,-4.2761,-55.9836,297.76,88,100,0.96
142,Aklavik,CA,2021-04-10 00:44:50,68.2191,-135.0107,248.15,58,100,4.12
143,Muroto,JP,2021-04-10 00:44:53,33.2833,134.15,287.15,21,0,6.17
144,Rabo De Peixe,PT,2021-04-10 00:44:54,37.8,-25.5833,288.15,88,40,2.57
145,Cockburn Town,TC,2021-04-10 00:43:39,21.4612,-71.1419,297.33,62,9,8.16
146,Tecpan,GT,2021-04-10 00:44:57,14.7623,-90.9947,294.15,73,40,6.17
